Year,Confucius Institutes in Oceania,Confucius Institutes in Australia,Confucius Institutes in NZ,Total # of Chinese language media companies in Australia,# of Chinese language media companies in Australia directly involved with UF,# of Chinese language media companies in Australia attended UF forum,Number of CSSAs in Australian universities,Number of state level CSSAs in Australia,Number of CPPRCs in Oceania,Number of CPPRCs in Australia,Number of CPPRCs in NZ,Total Chinese exports,Total Chinese imports,Australian export dependence on China,NZ export dependence on China,Number of Australian trade goods with >0.7 dependence on China,Number of Australian trade goods with >0.5 dependence on China,Number of Australian trade goods with >0.3 dependence on China,Number of NZ trade goods with >0.7 dependence on China,Number of NZ trade goods with >0.5 dependence on China,Number of NZ trade goods with >0.3 dependence on China,"Summed export dependencies on China, Australia","Summed export dependencies on China, NZ",Chinese born immigrants to Australia,NZ visas given to Chinese born people,NZ student visas given to Chinese born people,Cumulative Chinese investment in Australia,Cumulative Chinese investment in NZ,"Cumulative Chinese investment, global",Chinese Katz centrality in 0 threshold world trade graph,Chinese Katz centrality in 0.01 threshold world trade graph,Chinese Katz centrality in 0.02 threshold world trade graph,Chinese Katz centrality in 0.04 threshold world trade graph,Chinese Katz centrality in 0.08 threshold world trade graph,Chinese Katz centrality in 0.16 threshold world trade graph
1990,0,0,0,3,0,3,6,0,0,0,0,28085493507,16264869328,0.017404234,0.008731219,0,0,1,0,0,0,1.220422732,0.583985478,,,,,,,,,,,,
1991,0,0,0,3,0,3,6,0,0,0,0,57725541410,26139450485,0.022589189,0.015397196,0,0,1,0,0,1,1.475504333,0.957078977,,,,,,,,,,,,
1992,0,0,0,3,0,3,7,0,0,0,0,73488611169,37044356316,0.026518737,0.018272868,0,0,0,0,0,0,1.446518417,0.95738387,,,,,,,,,,,,
1993,0,0,0,4,1,4,7,0,0,0,0,1.41E+11,95976486024,0.027278978,0.018628461,0,0,0,0,0,0,1.90515262,1.150853771,,,,,,,,,,,,
1994,0,0,0,4,1,4,7,0,0,0,0,1.81E+11,1.14E+11,0.029007703,0.025641626,0,0,0,0,0,0,1.897497173,1.0016947,,,,,,,,,,,,
1995,0,0,0,4,1,4,7,0,0,0,0,2.20E+11,1.39E+11,0.03218401,0.023562337,0,0,0,0,0,1,2.245322317,1.098967394,,,,,,,,,,,,
1996,0,0,0,4,1,4,9,0,0,0,0,2.44E+11,1.51E+11,0.031617618,0.024039544,0,0,0,0,0,0,2.253622601,1.244321565,,,,,,,,,,,,
1997,0,0,0,4,1,4,9,0,0,0,0,2.79E+11,1.60E+11,0.03588997,0.026109233,0,0,0,0,0,0,2.575837297,1.476739327,,,,,,,,,,,,
1998,0,0,0,5,2,5,9,0,0,0,0,2.83E+11,1.50E+11,0.031702112,0.026985753,0,0,0,0,1,1,2.40618752,1.949265315,,,,,,,,,,,,
1999,0,0,0,5,2,5,9,0,0,0,0,3.19E+11,1.57E+11,0.036554497,0.025084173,0,0,0,0,0,2,2.373270581,2.063777983,,,,,,,,,,,,
2000,0,0,0,6,3,6,10,0,2,1,1,4.05E+11,2.04E+11,0.043305808,0.030805758,0,0,2,0,0,1,3.828747844,2.092670292,,,,,,,,,,,,
2001,0,0,0,7,3,6,10,0,3,2,1,4.21E+11,2.15E+11,0.045228899,0.039576039,0,0,1,0,0,0,4.067728192,2.213941057,,,,,,,,,,,,
2002,0,0,0,7,3,6,10,0,3,2,1,5.05E+11,2.62E+11,0.050391289,0.0446439,0,0,1,0,0,0,4.186874009,2.384162012,,,,,,,,,,,,
2003,0,0,0,8,3,6,11,0,4,3,1,6.39E+11,3.62E+11,0.059355561,0.047364095,0,0,1,0,1,2,4.902311151,3.321344755,,,,,,,,,,,,
2004,0,0,0,8,3,6,12,0,8,3,5,8.45E+11,4.72E+11,0.070969729,0.056045125,0,0,4,2,2,4,5.648454903,5.125271866,,,,,,,,,,,,
2005,2,2,0,8,3,6,18,1,9,4,5,1.05E+12,5.55E+11,0.094720649,0.049653494,0,1,6,1,3,4,6.461253277,4.718659172,19090,,,320,0,19170,,,,,,
2006,2,2,0,9,3,6,19,1,10,5,5,1.29E+12,6.69E+11,0.101404528,0.052379344,0,2,9,1,2,3,7.100134292,4.404791996,39060,,,3240,0,60800,,,,,,
2007,4,3,1,10,4,7,19,3,11,6,5,1.55E+12,8.07E+11,0.11991367,0.052527972,0,3,8,0,2,4,7.688401668,4.57964464,66940,,,5420,0,115060,,,,,,
2008,7,6,1,12,6,9,19,3,11,6,5,1.78E+12,9.07E+11,0.13569498,0.060043817,0,4,8,1,2,4,7.325234258,5.226105553,103280,509406,130482,21200,0,202770,,,,,,
2009,9,7,2,14,8,11,19,3,11,6,5,1.52E+12,8.70E+11,0.203528277,0.090995894,1,5,11,1,2,6,8.944046225,5.347021264,136870,1016217,261336,32190,0,295970,0.090391539,0.295281381,0.396008223,0.302987,0.437173,0.285715
2010,11,8,3,15,8,11,20,3,12,7,5,1.94E+12,1.19E+12,0.247394524,0.112023438,1,4,10,1,2,6,9.140871219,5.766579796,165210,1517829,397920,37160,0,409700,,,,,,
2011,13,10,3,17,10,13,25,3,12,7,5,2.23E+12,1.43E+12,0.266566297,0.128063729,1,6,9,0,2,8,9.477153513,6.33769015,182890,2017518,550764,47440,0,532140,,,,,,
2012,15,12,3,18,11,14,25,4,12,7,5,2.33E+12,1.44E+12,0.286283582,0.152307396,1,8,12,1,2,9,11.09530437,6.869384501,198400,2540775,717438,56670,1170,669590,,,,,,
2013,15,12,3,18,11,14,26,5,12,7,5,2.42E+12,1.55E+12,0.352282726,0.213238559,2,8,12,0,2,9,10.97541385,6.635260808,220980,3074712,890175,65540,1350,810130,,,,,,
2014,15,12,3,19,11,14,28,5,12,7,5,2.53E+12,1.53E+12,0.322878218,0.204708727,2,6,10,0,2,8,9.935879371,7.135468819,251780,3643440,1086753,75580,2460,979290,,,,,,
2015,15,12,3,19,11,14,29,5,13,8,5,2.48E+12,1.35E+12,0.303942207,0.180005041,2,8,13,0,1,6,11.9221776,7.233134071,290850,4267800,1315932,87010,2660,1175040,,,,,,
2016,15,12,3,22,12,15,29,5,14,9,5,2.27E+12,1.34E+12,0.292632586,0.199594116,3,5,10,0,0,10,10.95849887,7.888462936,336330,4973241,1574241,95350,2990,1422640,,,,,,
2017,15,12,3,23,12,16,30,5,15,10,5,2.63E+12,1.57E+12,0.336300126,0.228021452,4,6,11,1,2,8,12.40998359,8.604476297,386350,5741337,1849449,105770,3440,1678270,,,,,,
2018,15,12,3,24,12,16,31,6,15,10,5,2.84E+12,1.75E+12,0.353397763,0.251493301,4,8,16,0,3,9,13.95462127,8.323282027,430960,6532719,2119608,112110,3440,1869780,,,,,,
2019,15,12,3,24,12,16,32,6,15,10,5,2.56E+12,1.66E+12,0.396945784,0.293386673,5,9,17,0,2,12,14.96589717,9.140989579,460250,7336497,2382177,116250,3840,2031290,0.096185554,0.333156298,0.429864216,0.622477,0.775945,0.81392
2020,15,12,3,24,12,16,33,6,15,10,5,,,,,,,,,,,,,,8058384,2572803,119940,3970,2095490,,,,,,
